NBAFB523105-BLK,SI,13,0,0
PCTS622201-WHT,SI,18,0,0
11235U-DH6,NO,0,0,0
30809U-JP5,NO,20,0,0
NBAHD522205-RED,SI,0,0,0
NBATS522201-GRY1,SI,0,0,0
NBATS522201-GRY,SI,0,0,0
NBATS522201-BLU,SI,0,0,0
NBATS522201-BLK1,SI,0,0,0
RMJS522202-BLK,SI,0,0,0
RMJS522201-WHT,SI,0,0,0
BCJS32121-BLK,SI,0,0,0
BCJS32121-NVY,SI,0,0,0
BCJS32120-BLK,SI,0,0,0
BCJS32120-NVY,SI,0,0,0
BCTS32130-RED,SI,0,0,0
BCTS32130-NVY,NO,0,0,0
NBAHD521001-BLK2,SI,0,0,3
NBAHD521001-YEL,SI,0,0,4
NBAHD521001-RED,SI,0,1,7
NBAHD521001-BLK,SI,9,1,2
NBATS520400-GRY,SI,0,0,0
NBATS520400-BLK,SI,2,0,8
NBATS521000-RED3,SI,7,0,18
NBATS521000-BLK5,SI,4,3,0
NBATS521000-ROY,SI,0,0,7
NBATS521000-GRN,SI,5,10,12
NBATS521000-GRY,SI,0,24,0
NBATS521000-BLK2,SI,2,0,7
NBATS521000-WHT,SI,0,0,1
NBATS521000-RED,SI,0,5,3
NBATS
