SKU,Encontrado,Stock,Stock China,Stock Futuro
MSPPJ524201-PK1,SI,0,0,0
MSPPJ524201-BK1,SI,0,0,0
MLBSH624205-WH1,SI,0,0,7
MLBSH624205-NV1,SI,0,0,7
NBASH624205-BK1,SI,0,0,7
MLBSH624206-NV1,SI,0,0,7
NBASH624206-OW1,SI,0,0,7
NBAJS624201-BK1,SI,0,0,7
MLBJS624201-WH1,SI,0,0,7
MLBJS624201-NV1,SI,0,0,7
NBAJS624201-RD1,SI,0,0,7
MLBCT624208-NV1,SI,0,0,7
MLBCT624208-WH1,SI,0,0,7
NBACT624209-PR1,SI,0,0,7
NBACT624209-BK1,SI,0,0,7
NBACT624210-BK1,SI,0,0,7
NBATS624207-WH1,SI,0,0,7
NBATS624207-RD1,SI,0,0,7
MLBTS624207-NV1,SI,0,0,7
MLBTS624207-WH2,SI,0,0,7
MLSTS624208-BK1,SI,0,0,7
MLSTS624208-PK1,SI,0,0,7
MLBTS624209-WH1,SI,0,0,7
MLBTT624205-WH1,SI,0,0,7
MLBTT624205-NV1,SI,0,0,7
NBATT624205-BK1,SI,0,0,7
NBATT624205-PR1,SI,0,0,7
NBATT624205-WH2,SI,0,0,7
MLBCT624210-WH1,SI,0,0,7
MLSCT624210-BK2,SI,0,0,7
MLSCT624210-PK1,SI,0,0,7
NBACT624211-WH1,SI,0,0,7
NBACT624211-WH2,SI,0,0,7
MLBCT624211-WH3,SI,0,0,7
NBACT624212-BK1,SI,0,0,7
NBACT624212-RD1,SI,0,0,7
MLBCT624212-NV1,SI,0,0,7
MLBTS624209-NV1,SI,0,0,7
MLSTS624210-PK1,SI,0,0,7
MLSTS624210-BK1,SI,0,0,7
MLBTS624211-NV1,SI,0,0,7
MLBTS624211-WH1,SI,0,0,7
MLBTS624211-WH2,SI,0,0,7
NBATS624212-BK1,SI,0,0,7
NBATS624212-PK1,SI,0,0,7
MSPCT624213-BK1,SI,0,0,7
MSPCT624213-PK1,SI,0,0,7
MSPTS624213-BK1,SI,0,0,7
MSPTS624213-PK1,SI,0,0,7
MSPTS624214-BK1,SI,0,0,7
MSPTS624214-PK1,SI,0,0,7
NBASH624205-WH1,SI,0,0,7
MLBTS52033-BLKCOP2,NO,0,0,0
35248U-090A,NO,11,0,0
NBABN523113-RED1COP,NO,0,0,0
