MLBCT623101-BLU,SI,0,0
MLBCT623101-WHT,SI,0,0
MLBCT623101-NVY,SI,0,0
MLBCT623101-GRY,SI,0,0
NBACA523150-BLK2,SI,0,0
NBACA523150-BLK3,SI,0,0
NBACA523149-BLK1,SI,0,0
NBACA523149-BLK2,SI,0,0
NBACA523148-BLK1,SI,0,0
NBACA523148-BLK2,SI,0,0
NBACA523147-BLK3,SI,0,0
NBACA523146-BLK6,SI,0,0
NBACA523146-BLK4,SI,0,0
NBACA523146-BLK5,SI,0,0
NBACA523146-BLK2,SI,0,0
NBACA523146-BLK3,SI,0,0
NBACA523146-BLK,SI,0,0
NBACA523146-BLK1,SI,0,0
NBACA523145-WHT5,SI,0,0
NBACA523145-WHT6,SI,0,0
NBACA523145-WHT2,SI,0,0
NBACA523145-WHT3,SI,0,0
NBACA523145-WHT4,SI,0,0
NBACA523145-WHT,SI,0,0
NBACA523145-WHT1,SI,0,0
NBACA523144-BLK6,SI,0,0
NBACA523144-BLK3,SI,0,0
NBACA523144-BLK4,SI,0,0
NBACA523144-BLK5,SI,0,0
NBACA523144-BLK,SI,0,0
NBACA523144-BLK1,SI,0,0
NBACA523144-BLK2,SI,0,0
NBACA523143-RED,SI,0,0
NBACA523143-NVY,SI,0,0
NBACA523143-PUR,SI,0,0
NBACA523143-BUR,SI,0,0
NBACA523143-GRN,SI,0,0
NBACA523143-GRY,SI,0,0
NBACA523143-BLU,SI,0,0
NBACA523137-PUR1,SI,0,0
NBACA523137-GRN,SI,0,0
NBACA523170-GRY2,SI,0,0
NBACA523170-GRY3,SI,0,0
NBACA523170-GRY4,SI,0,0
NBACA523170-GRY,SI,0,0
NBACA523170-GRY1,SI,0,0
NBACA523169-PUR,SI,0,0
NBACA523169-RED,SI,0,0
NBACA523169-GRN,SI,0,0
NBACA523169-GRY,SI,0,0
NBACA523169-NVY,SI,0,0
NBACA523169-BLU,SI,0,0
NBACA523168-BLK3,SI,0,0
NBACA523168-BLK4,SI,0,0
NBACA523168-BLK2,SI,0,0
NBACA523167-BLK4,SI,0,0
NBACA523167-BLK2,SI,0,0
NBACA523167-BLK3,SI,0,0
NBACA523167-BLK1,SI,0,0
NBACA523167-BLK,SI,0,0
NBACA523166-BLK3,SI,0,0
NBACA523166-BLK4,SI,0,0
NBACA523165-ORG,SI,0,0
NBACA523165-BLU,SI,0,0
NBACA523165-GRN,SI,0,0
NBACA523164-BLK3,SI,0,0
NBACA523164-BLK4,SI,0,0
NBACA523164-BLK2,SI,0,0
NBACA523159-YEL,SI,0,0
NBACA523159-BUR,SI,0,0
NBACA523158-BLK2,SI,0,0
NBACA523158-BLK3,SI,0,0
NBACA523158-BLK4,SI,0,0
NBACA523158-BLK,SI,0,0
NBACA523158-BLK1,SI,0,0
NBACA523157-BLK4,SI,0,0
NBACA523157-BLK2,SI,0,0
NBACA523157-BLK3,SI,0,0
NBACA523157-BLK,SI,0,0
NBACA523157-BLK1,SI,0,0
NBACA523156-YEL,SI,0,0
NBACA523156-GRY,SI,0,0
NBACA523156-PUR,SI,0,0
NBACA523156-RED,SI,0,0
NBACA523156-BUR,SI,0,0
NBACA523155-BLK4,SI,0,0
NBASW523101-GRY,SI,0,12
NBASW523103-BLK2,SI,0,0
NBASW523101-GRY1,SI,0,0
NBASH623201-BLU,SI,0,0
NBASW523101-BLK1,SI,0,12
NBASH523106-BLK,SI,0,0
NBASH523106-BLK1,SI,0,0
NBASH523106-BLK2,SI,0,0
NBASH523105-BLK2,SI,0,0
NBASH523103-BLK3,SI,0,0
NBASH523103-BLK1,SI,0,0
NBASH523103-BLK2,SI,0,0
NBASH523102-BLK1,SI,0,0
NBASH523102-BLK2,SI,0,0
NBASH523102-BLK3,SI,0,0
NBASH523102-BLK,SI,0,0
NBAPT523101-BLK3,SI,0,0
NBAPT523101-RED,SI,0,0
NBAPT523101-BLK,SI,0,0
NBATS523116-WHT,SI,0,9
NBATS523114-LIL,SI,0,0
NBATS523114-NVY,SI,0,0
NBATS523114-TUR,SI,0,0
NBATS523114-BLK2,SI,0,0
NBATS523114-GRN,SI,0,0
NBATS523114-LHB,SI,0,0
NBATS523114-BLK,SI,0,0
NBATS523114-BLK1,SI,0,0
NBATS523113-NVY,SI,0,0
NBATS523113-BLK2,SI,0,0
NBATS523112-LIL,SI,0,0
NBATS523112-LIL1,SI,0,0
NBATS523112-NVY,SI,0,0
NBATS523112-BLK,SI,0,0
NBATS523112-BLK1,SI,0,0
NBATS523112-GRN,SI,0,0
NBATS523111-WHT1,SI,0,0
NBATS523111-WHT2,SI,0,0
NBATS523111-WHT,SI,0,0
NBATS523111-BLK1,SI,0,0
NBATS523110-BLK2,SI,0,0
NBATS523109-WHT,SI,0,0
NBATS523109-WHT1,SI,0,0
NBATS523109-PUR,SI,0,0
NBATS523109-RED,SI,0,0
NBATS523109-LHB,SI,0,0
NBATS523109-ORG,SI,0,0
NBATS523108-WHT3,SI,0,0
NBATS523108-WHT,SI,0,0
NBATS523108-WHT1,SI,0,0
NBATS523108-WHT2,SI,0,0
NBATS523108-BLK3,SI,0,0
NBATS523108-RED,SI,0,0
NBATS523108-BLK1,SI,0,0
NBATS523108-BLK2,SI,0,0
NBATS523108-BLK,SI,0,0
NBATS523107-BLK2,SI,0,0
NBATS523107-BLK3,SI,0,0
NBATS523107-BLK,SI,0,0
NBATS523107-BLK1,SI,0,0
NBATS523102-LHB1,SI,0,0
NBATS523102-ORG,SI,0,0
NBATS523102-PUR,SI,0,0
