SKU,Encontrado,Stock,Stock China,Stock Futuro
RMJS5162RM09-NVY,NO,0,0,0
RMJS5162RM12-BLK,NO,0,0,0
BCSH5162BC003-NVY,NO,0,0,0
BCJK5162BC001-NVY,NO,0,0,0
BCJK5162BC002-RED,NO,0,0,0
BCPT5162BC001-NVY,NO,0,0,0
BCJS5162BC002-NVY,NO,0,0,0
RMSH3162RM006-BLK,NO,0,0,0
RMSH3162RM006-NVY,NO,0,0,0
RMPT3162RM002-NVY,NO,0,0,0
BCJS5162BC001-NVY,NO,0,0,0
BCJS5162BC002-GRN,NO,0,0,0
BCJS5162BC003-RED,NO,0,0,0
RMBK05161RM002-BLK,NO,0,0,0
RMJS05161RM003-NVY,NO,0,0,0
RMPL03161RM008-NVY,NO,0,0,0
RMTS03161RM021-RGR,NO,0,0,0
CAATS524115-OW1,SI,0,0,0
MLBBX500001-RD1,SI,0,0,0
MLBBX500001-BL1,SI,0,0,0
MLBBX500001-NV1,SI,0,0,0
NBAHD321001-ROY,SI,0,0,0
NBATS520111-BLK3,SI,0,0,0
NBATS520103-PUR5,SI,0,0,0
NBATS520102-YEL,SI,0,0,0
NBAHD521002-BUR,SI,0,0,0
NBACA500005-BK7,SI,0,0,0
NBACA500004-BK1,SI,0,0,0
NBATS32224-YEL2,SI,0,0,0
NBATS32224-PUR5,SI,0,0,0
NBATS32224-BLU2,SI,0,0,0
MLBTS520200-BLU1,SI,0,0,0
NBACT62213-BLU,SI,0,0,0
CLASSIC-CAYSU16-02,NO,0,0,0
ACHD5232001-GRY,NO,0,0,0
ACTS5232004-WHT,NO,0,0,0
PFLTS5232002-GRY,NO,0,0,0
NBATS622229-BLK,SI,0,4,0
NBATS622228-RED,SI,0,0,0
UNYLSW622201-WHT,SI,0,0,0
UNYLSW622201-NVY,SI,0,0,0
UNYLSW622201-GRY,SI,0,0,0
UNYLSH622201-GRY,SI,0,0,0
UNYLSB522213-BLK,SI,0,0,0
UNYLSB522209-BLU,SI,0,0,0
UNYLPT622201-NVY,SI,0,0,0
UNYLCT622203-NVY,SI,0,0,0
UNYLCT622202-NVY,SI,0,0,0
NBASW622229-RED,SI,0,2,0
NBASW622229-LIC,SI,0,2,0
NBASW622229-PUR,SI,0,0,0
NBATS622229-BLK3,SI,0,9,0
NBATS622229-BLK1,SI,0,5,0
NBALG622229-BLK,SI,0,0,0
NBALG622229-PUR,SI,0,0,0
BCCA523101-BLK,SI,0,0,0
BCCA523106-DGRY,SI,0,0,0
NBATS622201-BLK2,SI,3,0,0
NBATS622201-BLK1,SI,1,0,0
UNYLCT622201-WHT,SI,0,0,0
UNYLCT622201-GRY,SI,0,0,0
UNLSSB522209-PUR,SI,0,0,0
UNHVTS522203-BLK,SI,0,0,0
UNHVTS522201-BLK,SI,1,0,0
UNHVTS522203-GRY,SI,0,0,0
UNHVTS522202-GRY,SI,0,0,0
UNGTCT622202-WHT,SI,6,0,0
UNHVSH522201-GRY,SI,0,0,0
UNHVSH522201-WIN,SI,0,0,0
UNHVTS522203-RED,SI,0,0,0
UNHVTS522201-WIN,SI,0,0,0
UNHVTS522202-RED,SI,0,0,0
UNGTTS522204-WHT,SI,0,0,0
UNCASH522201-RED,SI,0,0,0
UNCASH522201-BLK,SI,0,0,0
UNCATS522202-RED,SI,0,0,0
UNCATS522202-WHT,SI,1,0,0
NBACHD622201-BLK,SI,0,0,0
PSGTS52212-BLK,SI,0,0,0
UNGTPT622202-BLK,SI,0,0,0
NBAHD622201-RED,SI,0,0,0
NBAHD622201-PUR,SI,0,0,0
NBACT622210-WHT1,SI,6,0,0
NBACT622210-WHT,SI,4,0,0
UNCAPT622201-RED,SI,0,0,0
UNGTCT622201-GRY,SI,0,0,0
UNGTCT622201-NVY,SI,0,0,0
UNGTCT622204-WHT,SI,0,0,0
UNGTTS622201-NVY,SI,0,0,0
UNGTTS622201-WHT,SI,0,0,0
UNGTSH622202-NVY,SI,0,0,0
UNHVSH622201-GRY,SI,0,0,0
UNCATS622201-GRN,SI,0,0,0
UNCATS622201-WHT,SI,0,0,0
UNFLCT622203-BLK,SI,0,0,0
UNFLCT622201-GRY,SI,0,0,0
