SKU,Encontrado,Stock,Stock Futuro
NBAPJ522203-GRY,SI,0,18
NBAPT522214-BLK2,SI,0,17
NBAPT522214-BLK1,SI,0,17
NBAPT522214-BLK,SI,0,15
NBATT522222-BLK,SI,0,6
NBATS622223-BLK,SI,0,4
NBACT622221-PUR,SI,0,13
NBACT622221-BLK,SI,0,13
NBAPJ622261-GRY3,SI,0,44
NBAPJ622261-GRY1,SI,0,34
NBAPJ622261-GRY2,SI,0,44
NBAPJ622261-GRY,SI,0,34
NFLTS622201-NVY,SI,0,4
NFLTS622201-RED1,SI,0,4
MLBTS5222013-LBL,SI,0,4
MLBTS322210-NVY,SI,0,22
MLBTS322210-BLK,SI,0,23
MLBTS322205-NVY,SI,0,19
MLBTS322205-BLK,SI,0,25
NBAPJ622271-BLK,SI,0,44
NBAPJ622271-LHB,SI,0,44
NBAPJ622271-PUR,SI,0,34
NBAPJ622271-PNK,SI,0,34
NBAPJ622267-RED1,SI,0,54
NBAPJ622267-RED,SI,0,44
NBAPJ622267-PUR,SI,0,44
NFLCT622202-BLK1,SI,0,17
PACSO522205K-ORG,NO,0,17
PACSO522206K-BLK,NO,0,17
SOUSO522203K-BLK,NO,0,17
SOUSO522206K-GRN,NO,0,17
SOUSO522204K-WHT,NO,0,17
SOUSO522205K-GRY,NO,0,17
SOUSO522206K-PUR,NO,0,17
SOUSO522207K-ORG,NO,0,17
STTSO622201-NVY,NO,0,17
STTSO622202-NVY,NO,0,17
STTSO622203-WHT,NO,0,17
PSGSB32207S-BLK,NO,0,17
PSGSB32207S-NVY,NO,0,17
NBAPJ622264-GRY1,SI,0,54
NBAPJ622264-PUR,SI,0,44
NBAPJ622264-PNK,SI,0,54
NBAPJ622264-GRY,SI,0,44
NBACS322201-BLK,SI,0,33
NBACS322201-RED,SI,0,33
SOUTS522205-PUR,SI,0,27
NFLCT622202-NVY,SI,0,17
NFLCT622202-BLK,SI,0,17
CCJP522202-BLK,SI,0,21
BUDPT522201-BLK,SI,0,21
NASPT522202-GRY,SI,0,21
ACPT522201-BLK2,SI,0,21
LLPT522201-BLK,SI,0,21
LLSH522201-BLK,SI,0,21
NASSH522201-BLK,SI,0,21
FDPT522201-GRY,SI,0,21
KISTS522205-BLK,SI,0,45
NBATS322229-GRY4,SI,0,19
NBATS322229-BUR,SI,0,15
NBATS322229-BLU,SI,0,19
NBATS322229-DGRY,SI,0,19
NBASH322224-BLK4,SI,0,6
MLBBX522223-NVY,SI,0,18
MLBBX522223-NVY1,SI,0,36
FIJS322209-YEL,SI,0,15
NBATT322221-BLK,SI,0,4
NBATS322224-BLK2,SI,0,2
NBASH322220-BLK3,SI,0,19
NBASH322220-BLK4,SI,0,5
NBASH322220-BLK2,SI,0,4
NBASH322220-BLK,SI,0,4
NBATS322221-BLK1,SI,0,24
NBATS322221-WHT,SI,0,11
NBATS322221-YEL,SI,0,15
NBACT422220-PUR,SI,0,25
NBACT422220-YEL,SI,0,25
NBACT422220-RED,SI,0,25
NBACT422220-BLK,SI,0,25
NBASH422220-BLK,SI,0,17
NBASH422220-PUR,SI,0,17
NBATT422220-BLK,SI,0,17
NBATT422220-PUR,SI,0,17
NBAHD422221-RED,SI,0,21
NBAHD422221-BLK,SI,0,12
NBAHD422221-PUR,SI,0,12
NBALG422229-PUR,SI,0,17
NBALG422229-BLK,SI,0,17
NBATS322220-PUR,SI,0,2
NBATS322220-BLK1,SI,0,3
NBATS322220-BLK,SI,0,6
NBASH322202-BLK,SI,0,12
NBATS322201-RED,SI,0,4
NBATS322201-YEL,SI,0,17
NBATS322201-GRY,SI,0,7
NBASH322201-YEL,SI,0,8
NBASH322201-WHT,SI,0,4
NBASH322201-RED,SI,0,4
NBASH322201-PUR,SI,0,4
NBASH322201-BLK1,SI,0,4
NBASH322201-BLK,SI,0,4
NBAHD322201-GRY,SI,0,15
NBAHD322201-BLK1,SI,0,25
NBAHD322201-BLK,SI,0,14
NBATS422223-YEL,SI,0,14
NBATS522256-BLK4,SI,0,6
NBATS522256-BLK,SI,0,10
NBATS522255-PUR,SI,0,14
NBATS522254-BLK,SI,0,6
NBATS522253-PUR,SI,0,9
NBATS522252-BLK4,SI,0,16
NBATS522203-BLK1,SI,0,25
NBATS522203-BLK,SI,0,25
NBASB322220-BLK2,SI,0,4
NBASB322220-BLK,SI,0,4
NBAHD522252-BLK4,SI,0,11
MLBCT622202-AQA,SI,0,27
MLBCT622202-BLK,SI,0,25
MLBCT622202-BLU,SI,0,24
NBATS522229-GRN,SI,0,11
NBATS522229-BLU,SI,0,15
NBATS522229-BLK4,SI,0,20
NBATS522229-BLK2,SI,0,14
MLBTS522206-BLK,SI,0,8
MLBTS522206-NVY1,SI,0,3
MLBTS522206-RED,SI,0,3
MLBTS522206-NVY,SI,0,3
MLBHD522207-BLK3,SI,0,17
MLBHD522207-NVY,SI,0,12
NBAJP622202-BLK1,SI,0,18
NBAJP622201-GRY3,SI,0,19
NBAJP622201-GRY,SI,0,19
PSGSB32208-BLK,SI,0,7
MLBHD522207-BLK,SI,0,9
MLBSH522204-BLU,SI,0,15
MLBSH522204-NVY1,SI,0,20
MLBSH522204-NVY,SI,0,4
NBATS322241-GRY,SI,0,24
NBATS322239-BLK,SI,0,4
NBATS322237-BLU,SI,0,18
NBATS322236-GRN,SI,0,18
