SKU,Encontrado,Stock,Stock Futuro
NBAPJ522203-GRY,SI,0,18
NBAPT522214-BLK2,SI,0,17
NBAPT522214-BLK1,SI,0,17
NBAPT522214-BLK,SI,0,15
NBATT522222-BLK,SI,0,6
NBATS622223-BLK,SI,0,8
NBACT622221-PUR,SI,0,17
NBACT622221-BLK,SI,0,17
NBAPJ622261-GRY3,SI,0,44
NBAPJ622261-GRY1,SI,0,34
NBAPJ622261-GRY2,SI,0,44
NBAPJ622261-GRY,SI,0,34
NFLTS622201-NVY,SI,0,4
NFLTS622201-RED1,SI,0,4
MLBTS5222013-NVY,SI,0,4
MLBTS5222013-LBL,SI,0,4
MLBTS5222011-LBL,SI,0,4
MLBTS322210-NVY,SI,0,23
MLBTS322210-BLK,SI,0,23
MLBTS322205-NVY,SI,0,19
MLBTS322205-BLK,SI,0,25
NBAPJ622271-BLK,SI,0,44
NBAPJ622271-LHB,SI,0,44
NBAPJ622271-PUR,SI,0,34
NBAPJ622271-PNK,SI,0,34
NBAPJ622267-RED1,SI,0,54
NBAPJ622267-RED,SI,0,44
NBAPJ622267-PUR,SI,0,44
NFLCT622202-BLK1,SI,0,17
NBAPJ622264-GRY1,SI,0,54
NBAPJ622264-PUR,SI,0,44
NBAPJ622264-PNK,SI,0,54
NBAPJ622264-GRY,SI,0,44
NBACS322201-BLK,SI,0,33
NBACS322201-RED,SI,0,33
SOUTS522205-PUR,SI,0,27
NFLCT622202-NVY,SI,0,17
NFLCT622202-BLK,SI,0,17
CCJP522202-BLK,SI,0,21
BUDPT522201-BLK,SI,0,21
NBASH322224-BLK4,SI,0,25
NBATT322221-BLK1,SI,0,16
NBATT322221-BLK,SI,0,26
NASPT522202-GRY,SI,0,21
CCJP522203-BLK,SI,0,19
ACPT522201-BLK2,SI,0,21
LLPT522201-BLK,SI,0,21
LLSH522201-BLK,SI,0,21
NASSH522201-BLK,SI,0,21
FDPT522201-GRY,SI,0,21
KISTS522205-BLK,SI,0,45
MLBBX522223-NVY,SI,0,18
MLBBX522223-NVY1,SI,0,36
NBATS322224-BLK2,SI,0,2
NBASH322221-BLK1,SI,0,6
NBASH322221-PUR,SI,0,15
NBASH322221-BLK,SI,0,21
NBASH322220-BLK3,SI,0,19
NBASH322220-BLK4,SI,0,5
NBASH322220-BLK2,SI,0,4
NBASH322220-BLK,SI,0,4
NBATS322221-BLK1,SI,0,24
NBATS322221-WHT,SI,0,11
NBATS322221-YEL,SI,0,15
NBATS322220-PUR,SI,0,12
NBATS322220-BLK1,SI,0,3
NBASH322202-BLK,SI,0,12
NBATS322201-RED,SI,0,4
NBATS322201-YEL,SI,0,17
NBATS322201-GRY,SI,0,7
NBASH322201-YEL,SI,0,23
NBASH322201-WHT,SI,0,19
NBASH322201-RED,SI,0,19
NBASH322201-PUR,SI,0,19
NBASH322201-BLK1,SI,0,19
NBASH322201-BLK,SI,0,19
NBAHD322201-GRY,SI,0,15
NBAHD322201-BLK1,SI,0,25
NBAHD322201-BLK,SI,0,14
FIJS322209-YEL,SI,0,65
NBACT422220-PUR,SI,0,25
NBACT422220-YEL,SI,0,25
NBACT422220-RED,SI,0,25
NBACT422220-BLK,SI,0,25
NBASH422220-BLK,SI,0,17
NBASH422220-PUR,SI,0,17
NBATT422220-BLK,SI,0,17
NBATT422220-PUR,SI,0,17
NBATS522256-BLK4,SI,0,6
NBATS522256-BLK,SI,0,12
NBATS522255-PUR,SI,0,17
NBATS522254-BLK,SI,0,9
NBATS522253-PUR,SI,0,9
NBATS522252-BLK4,SI,0,16
NBAHD422221-RED,SI,0,21
NBAHD422221-BLK,SI,0,12
NBAHD422221-PUR,SI,0,12
NBALG422229-PUR,SI,0,17
NBALG422229-BLK,SI,0,17
NBAHD522252-BLK4,SI,0,11
NBAJP622202-BLK1,SI,0,18
NBAJP622201-GRY3,SI,0,19
NBATS422223-YEL,SI,0,14
NBATT322222-GRY,SI,0,14
NBATT322222-PUR1,SI,0,20
NBATT322222-PUR,SI,0,10
NBATT322222-BLU,SI,0,10
NBATS322229-GRY4,SI,0,19
NBATS322229-BUR,SI,0,15
NBATS322229-BLU,SI,0,19
NBATS322229-DGRY,SI,0,19
NBASB322220-BLK2,SI,0,4
NBASB322220-BLK,SI,0,4
NBAJP622201-GRY,SI,0,19
NBASW622230-BLK,SI,0,10
NBASW622230-RED,SI,0,18
NBASW622230-YEL,SI,0,18
NBASW622230-PUR,SI,0,10
NBAHD622221-PUR,SI,0,9
NBAHD622221-BLK,SI,0,9
NBACT622220-LHB,SI,0,27
NBACT622220-PUR,SI,0,3
NBACT622220-YEL,SI,0,12
NBACT622220-RED,SI,0,6
NBACT622220-BLK,SI,0,6
NBAPT522211-GRY,SI,0,17
NBAPT522211-BLK,SI,0,17
MLBCT622202-AQA,SI,0,27
MLBCT622202-BLK,SI,0,25
MLBCT622202-BLU,SI,0,24
NBATS522229-GRN,SI,0,11
NBATS522229-BLU,SI,0,15
NBATS522229-BLK4,SI,0,22
NBATS522229-BLK2,SI,0,16
MLBTS522206-BLK,SI,0,11
MLBTS522206-NVY1,SI,0,3
MLBTS522206-RED,SI,0,3
MLBTS522206-NVY,SI,0,3
MLBHD522207-BLK3,SI,0,17
MLBHD522207-NVY,SI,0,12
NBAPT522210-BLK,SI,0,21
NBASH522210-RED1,SI,0,6
