SKU,Encontrado,Stock,Stock Futuro
CH171BZWH612O6,NO,,
CH171BZBK612O6,NO,,
20104510-072,NO,,
20104430-11L,NO,,
20104430-559,NO,,
20104430-227,NO,,
NBATS32210-BLK2,NO,,
NBATS32210-RED,NO,,
NBATS32210-BLK,NO,,
NBATS32210-BLK5,NO,,
NBATS32208-BLK5,NO,,
NBATS32208-BLK4,NO,,
NBATS32208-BLK2,NO,,
NBATS32208-BLK,NO,,
CABBA9ASE,NO,,
NBACS32202-BLK,SI,18,58
NBAHD32210-PUR,SI,6,0
NBASW32208-BLK,NO,6,0
NBASW32208-RED,NO,6,0
NBASW32208-BLK2,NO,6,0
NBASW32208-PUR,NO,6,0
NBASW32208-GRY4,NO,6,0
NBASW32208-BLU,NO,6,0
NBATS32210-PUR,NO,6,0
NBATS32210-BLK3,NO,6,0
20104440-11L,NO,6,0
20104440-227,NO,6,0
20104470-2M2,NO,6,0
NBASB521256-BLK,SI,4,0
NBASB521256-BLK2,SI,4,0
NBASB521257-PNK,SI,30,0
NBASB521257-PNK2,SI,30,0
NBASB521257-PNK3,SI,30,0
NBASB521257-PNK4,SI,9,0
NBASB521257-PNK5,SI,9,0
NBASB521257-PNK6,SI,9,0
20104390-027,NO,9,0
20104390-01L,NO,9,0
20104490-1ML,NO,9,0
20104490-2M5,NO,9,0
20104510-027,NO,9,0
NBASB52211-BLK,SI,3,0
NBASB52207-BLK1,SI,2,0
NBASB52207-BLK,SI,2,10
NBATS321424-YLW,SI,28,17
NBATS321424-BLK,SI,10,8
NASSL52201-BLK,SI,62,0
BUDCS2202-NVY,SI,66,0
PCFF52201-BLK,NO,66,0
CORFF52201-NVY,SI,64,0
CORCS52202-YEL,SI,62,0
CORSL52201-NVY,SI,64,35
NASCS52202-BLK,SI,79,0
NASCS52201-BLK,SI,69,18
NBASB52215-GRY,SI,2,0
NBASB52257-BUR,SI,8,0
NBASB52257-PUR,SI,10,0
NBASB52257-RED,SI,20,0
BUDSL2202-RED,SI,66,0
