SKU,Encontrado,Stock,Stock China,Stock Futuro
KISCT622201-BLK,NO,0,0,0
KISTS522204-BLK,NO,0,0,0
NBATS622228-PUR,SI,0,0,0
NBAHD622201-BLK,SI,0,0,0
NBACT622201-RED,SI,0,0,0
NBACT622201-PUR,SI,0,0,0
NBACT622201-BLK1,SI,0,0,0
NBACT622201-BLK,SI,0,0,0
NBACJK622202-RED,SI,0,0,0
MLBPT522203-NVY1,SI,0,0,0
ACCT622201-BLK,NO,0,0,0
CNCT622202-LBL,NO,0,0,0
CNCT622201-WHT,NO,0,0,0
CCTS522203-BUR,NO,0,0,0
STFTS522204-GRN,SI,0,0,0
STFTS522203-BLK,SI,0,0,0
STFTS522202-BLK,SI,0,0,0
STFTS522202-GRN,SI,2,0,0
MLBSW522202-WHT,SI,0,0,0
MLBSW522202-NVY,SI,0,0,0
ACTS522201-GRY,NO,0,0,0
ACTS522201-NVY,NO,0,0,0
MLBHD522204-BLU,SI,0,0,0
MLBHD522204-NVY,SI,0,0,0
MLBPT522203-BLU,SI,0,0,0
MLBJK524205-BK1,SI,1,0,0
MLBJK524205-WH1,SI,0,0,0
MLBJS524202-BL1,SI,0,0,0
MLBJS524202-RD1,SI,0,0,0
MLBJS524202-GY1,SI,0,0,0
MLBJS524202-BK1,SI,0,0,0
MLBTS524215-GY1,SI,0,0,0
MLBTS524215-BK1,SI,0,0,0
NBATS324206-YL1,SI,6,0,0
NBATS324206-BK1,SI,1,0,0
MLBSH524204-BG1,SI,0,0,0
MLBSH524204-GN1,SI,0,0,0
MLBSH524204-NV1,SI,0,0,0
MLBPT524204-BG1,SI,0,0,0
MLBPT524204-GN1,SI,0,0,0
MLBPT524204-NV1,SI,0,0,0
MLBPT524204-BK1,SI,0,0,0
MLBSW524201-NV2,SI,2,0,0
MLBSW524201-NV1,SI,0,0,0
MLBTS524210-NV2,SI,1,0,0
MLBSW524201-OW1,SI,0,0,0
MLBTS524210-NV1,SI,0,0,0
MLBTS524209-WH2,SI,0,0,0
MLBTS524209-NV1,SI,0,0,0
MLBTS524209-BK1,SI,0,0,0
MLBTS524209-GN1,SI,0,0,0
MLBTS524209-OW1,SI,0,0,0
MLBJK524203-OW1,SI,1,0,0
MLBJK524203-NV1,SI,1,0,0
MLBHD524206-NV1,SI,0,0,0
MLBSH524206-BK1,SI,0,0,0
MLBJK524205-BK2,SI,0,0,0
NBAJS524201-BK1,SI,12,0,0
NBAJS524201-RD1,SI,0,0,0
NBAJS524201-GY1,SI,1,0,0
NBAPT524206-BK1,SI,0,0,0
NBAHD524208-BK1,SI,0,0,0
NBASH524207-BK3,SI,0,0,0
NBASH524207-RD1,SI,1,0,0
NBASH524207-BK2,SI,0,0,0
NBASH524207-BK1,SI,2,0,0
NBATT524206-WH2,SI,0,0,0
NBATT524206-BK2,SI,0,0,0
NBATT524206-RD1,SI,0,0,0
NBATT524206-BK1,SI,0,0,0
NBATS524217-WH1,SI,4,0,0
