SKU,Encontrado,Stock,Stock Futuro
SKU,Encontrado,Stock,Stock Futuro
NBAPJ622264-GRY1,SI,0,54
NBAPJ622264-PUR,SI,0,44
NBAPJ622264-PNK,SI,0,54
NBAPJ622264-GRY,SI,0,44
NBAPJ622261-GRY3,SI,0,44
NBAPJ622261-GRY1,SI,0,34
NBAPJ622261-GRY2,SI,0,44
NBAPJ622261-GRY,SI,0,34
NBAPJ522203-GRY,SI,0,6
NBAPT522214-BLK2,SI,0,16
NBAPT522214-BLK1,SI,0,16
NBAPT522214-BLK,SI,0,14
NBATT522222-BLK,SI,0,6
NBATS622223-BLK,SI,0,4
NBACT622221-PUR,SI,0,13
NBACT622221-BLK,SI,0,13
NFLTS622201-NVY,SI,0,4
NFLTS622201-RED1,SI,0,4
NFLCT622202-BLK1,SI,0,17
PACSO522205K-ORG,NO,0,17
PACSO522206K-BLK,NO,0,17
MLBTS5222013-LBL,SI,0,4
MLBTS322210-NVY,SI,0,20
MLBTS322210-BLK,SI,0,23
MLBTS322205-NVY,SI,0,19
MLBTS322205-BLK,SI,0,25
NBAPJ522203-GRY,SI,0,6
NBAPJ622271-BLK,SI,0,44
NBAPT522214-BLK2,SI,0,16
NBAPJ622271-LHB,SI,0,44
NBAPT522214-BLK1,SI,0,16
NBAPT522214-BLK,SI,0,14
NBAPJ622271-PUR,SI,0,34
NBAPJ622271-PNK,SI,0,34
NBATT522222-BLK,SI,0,6
SOUTS522205-PUR,SI,27,0
NBATS622223-BLK,SI,0,4
NBAPJ622267-RED1,SI,0,54
NBACT622221-PUR,SI,0,13
NBAPJ622267-RED,SI,0,44
NBACT622221-BLK,SI,0,13
NBAPJ622267-PUR,SI,0,44
NBAPJ622264-GRY1,SI,0,54
NBAPJ622264-PUR,SI,0,44
NFLCT622202-NVY,SI,0,17
NBAPJ622264-PNK,SI,0,54
NFLCT622202-BLK,SI,0,17
NBAPJ622264-GRY,SI,0,44
CCJP522202-BLK,SI,21,0
NBAPJ622261-GRY3,SI,0,44
BUDPT522201-BLK,SI,21,0
NBAPJ622261-GRY1,SI,0,34
NASPT522202-GRY,SI,21,0
NBAPJ622261-GRY2,SI,0,44
ACPT522201-BLK2,SI,21,0
NBAPJ622261-GRY,SI,0,34
LLPT522201-BLK,SI,21,0
MLBTS5222013-LBL,SI,0,4
LLSH522201-BLK,SI,21,0
NASSH522201-BLK,SI,17,0
MLBTS322210-NVY,SI,0,20
FDPT522201-GRY,SI,21,0
MLBTS322210-BLK,SI,0,23
UMJS523103-TUR,NO,21,0
UMJS523104-LBL,NO,21,0
UMSH523101-BLK,NO,21,0
MLBTS322205-NVY,SI,0,19
MLBTS322205-BLK,SI,0,25
NBATS521000-BLK7,SI,35,0
MLBBX522223-NVY,SI,0,18
NBAPJ622271-BLK,SI,0,44
MLBBX522223-NVY1,SI,0,36
NBAPJ622271-LHB,SI,0,44
NBAPJ622271-PUR,SI,0,34
FIJS322209-YEL,SI,0,8
UMSH523106-BLK,NO,0,8
UMSH523103-NVY,NO,0,8
UMSH523105-BLK,NO,0,8
NBAPJ622271-PNK,SI,0,34
NFLTS622201-NVY,SI,0,4
NBASH422220-BLK,SI,0,11
NBASH422220-PUR,SI,0,11
NFLTS622201-RED1,SI,0,4
NFLCT622202-BLK1,SI,0,17
NBATT422220-BLK,SI,0,12
PACSO522205K-ORG,NO,0,17
PACSO522206K-BLK,NO,0,17
NBATT422220-PUR,SI,0,12
NBAPJ622267-RED1,SI,0,54
NBAPJ622267-RED,SI,0,44
NBAHD422221-RED,SI,0,16
NBAHD422221-BLK,SI,0,5
NBAPJ622267-PUR,SI,0,44
SOUTS522205-PUR,SI,27,0
NBAHD422221-PUR,SI,0,5
UMJS523103-TUR,NO,27,0
UMJS523104-LBL,NO,27,0
UMSH523101-BLK,NO,27,0
NBALG422229-PUR,SI,0,12
NBATS521000-BLK7,SI,35,0
NBALG422229-BLK,SI,0,12
NFLCT622202-NVY,SI,0,17
NFLCT622202-BLK,SI,0,17
NBATS422223-YEL,SI,0,10
CCJP522202-BLK,SI,21,0
NBATS322229-GRY4,SI,0,14
NBATS322229-BUR,SI,0,9
BUDPT522201-BLK,SI,21,0
NBATS322229-BLU,SI,0,14
NASPT522202-GRY,SI,21,0
NBATS322229-DGRY,SI,0,14
ACPT522201-BLK2,SI,21,0
LLPT522201-BLK,SI,21,0
NBASH322224-BLK4,SI,6,0
LLSH522201-BLK,SI,21,0
NBACT422220-PUR,SI,0,23
NASSH522201-BLK,SI,17,0
NBACT422220-YEL,SI,0,23
NBACT422220-RED,SI,0,23
FDPT522201-GRY,SI,21,0
NBACT422220-BLK,SI,0,23
NBACT422220-PUR,SI,0,23
NBACT422220-YEL,SI,0,23
NBAHD322201-GRY,SI,0,12
NBACT422220-RED,SI,0,23
NBAHD322201-BLK1,SI,0,25
NBACT422220-BLK,SI,0,23
NBAHD322201-BLK,SI,0,10
NBASH422220-BLK,SI,0,11
NBATS522256-BLK4,SI,0,6
NBASH422220-PUR,SI,0,11
NBATS522256-BLK,SI,0,10
NBATT422220-BLK,SI,0,12
NBATS522255-PUR,SI,0,14
NBATT422220-PUR,SI,0,12
NBATT322221-BLK1,SI,6,0
NBAHD422221-RED,SI,0,16
NBAHD422221-BLK,SI,0,5
NBATT322221-BLK,SI,6,0
NBAHD422221-PUR,SI,0,5
NBATS322224-BLK2,SI,0,2
MLBBX522223-NVY,SI,0,18
NBASH322221-BLK,SI,0,21
MLBBX522223-NVY1,SI,0,36
NBASH322220-BLK3,SI,0,13
FIJS322209-YEL,SI,0,8
NBATS322221-BLK1,SI,3,21
UMSH523106-BLK,NO,0,8
UMSH523103-NVY,NO,0,8
UMSH523105-BLK,NO,0,8
NBATS322221-WHT,SI,3,8
NBAHD322201-GRY,SI,0,12
NBATS322221-YEL,SI,3,12
NBAHD322201-BLK1,SI,0,25
NBATS322220-PUR,SI,0,2
NBAHD322201-BLK,SI,0,10
NBATS322220-BLK1,SI,3,0
NBALG422229-PUR,SI,0,12
NBATS322220-BLK,SI,0,6
NBALG422229-BLK,SI,0,12
NBASH322202-BLK,SI,0,28
NBATS422223-YEL,SI,0,10
NBATS322201-RED,SI,0,4
NBATS522256-BLK4,SI,0,6
NBATS322201-YEL,SI,0,17
NBATS522256-BLK,SI,0,10
NBATS322201-GRY,SI,0,7
NBATS522255-PUR,SI,0,14
NBASH322201-YEL,SI,0,7
NBASH322201-WHT,SI,0,19
NBATS522254-BLK,SI,0,6
NBASH322201-RED,SI,0,18
NBATS522253-PUR,SI,0,9
NBASH322201-PUR,SI,0,19
NBATS522252-BLK4,SI,0,15
NBASH322201-BLK1,SI,0,19
NBATS322229-GRY4,SI,0,14
NBASH322201-BLK,SI,0,3
NBATS322229-BUR,SI,0,9
NBATS322229-BLU,SI,0,14
NBATS522254-BLK,SI,0,6
NBATS322229-DGRY,SI,0,14
NBATS522253-PUR,SI,0,9
NBASH322224-BLK4,SI,6,0
NBATS522252-BLK4,SI,0,15
NBATT322221-BLK1,SI,6,0
NBAHD622221-PUR,SI,0,5
NBAHD622221-BLK,SI,0,5
NBATT322221-BLK,SI,6,0
NBATS322224-BLK2,SI,0,2
NBACT622220-LHB,SI,0,27
NBACT622220-YEL,SI,0,11
NBASH322221-BLK,SI,0,21
NBACT622220-RED,SI,0,5
NBASH322220-BLK3,SI,0,13
NBATS322221-BLK1,SI,3,21
NBACT622220-BLK,SI,0,3
NBATS322221-WHT,SI,3,8
NBAPT522211-GRY,SI,0,17
NBATS322221-YEL,SI,3,12
NBAPT522211-BLK,SI,0,17
NBATS322220-PUR,SI,0,2
NBAPT522210-BLK,SI,0,20
NBATS322220-BLK1,SI,3,0
NBASH522210-RED1,SI,0,6
NBATS322220-BLK,SI,0,6
NBASB322211-RED,SI,0,5
NBASB322211-PUR,SI,0,5
NBAHD522252-BLK4,SI,0,10
NBATS522210-BLK1,SI,0,15
NBASH322202-BLK,SI,0,28
NBATS522210-YEL,SI,0,8
NBATS322201-RED,SI,0,4
NBATS322201-YEL,SI,0,17
NBATS522210-BLK,SI,0,12
NBATS322201-GRY,SI,0,7
NBAHD522252-BLK4,SI,0,10
NBASH322201-YEL,SI,0,7
CCCT622203-WHT,SI,8,0
NBASH322201-WHT,SI,0,19
CCTS622203-NVY,SI,22,0
NBASH322201-RED,SI,0,18
CCTS622202-BLK,SI,20,0
NBASH322201-PUR,SI,0,19
CCTS622202-WHT,SI,5,0
NBASH322201-BLK1,SI,0,19
CCTS622201-BGE,SI,23,0
NBASH322201-BLK,SI,0,3
NBATT522201-PUR1,SI,0,16
NBAHD622221-PUR,SI,0,5
NBATT522201-BLU,SI,0,18
NBAHD622221-BLK,SI,0,5
NBATS522203-BLK1,SI,0,25
NBACT622220-LHB,SI,0,27
NBATS522203-BLK,SI,0,25
NBACT622220-YEL,SI,0,11
NBAJP622202-BLK1,SI,0,18
NBACT622220-RED,SI,0,5
NBAJP622201-GRY3,SI,0,19
NBACT622220-BLK,SI,0,3
NBAJP622201-GRY,SI,0,19
NBAPT522211-GRY,SI,0,17
PSGSB32208-BLK,SI,0,7
NBAPT522211-BLK,SI,0,17
NBASB322220-BLK2,SI,0,3
NBASB322220-BLK,SI,0,3
NBAJP622202-BLK1,SI,0,18
NBAJP622201-GRY3,SI,0,19
MLBCT622202-AQA,SI,2,25
NBAJP622201-GRY,SI,0,19
MLBCT622202-BLK,SI,1,24
MLBCT622202-BLU,SI,0,24
PSGSB32208-BLK,SI,0,7
NBASW622230-BLK,SI,0,6
NBATS522229-GRN,SI,0,11
NBATS522229-BLU,SI,0,14
NBASW622230-RED,SI,0,15
NBATS522229-BLK4,SI,0,19
NBASW622230-YEL,SI,0,15
NBATS522229-BLK2,SI,0,14
NBASW622230-PUR,SI,0,6
NBATS322231-YEL,SI,0,25
MLBTS522206-BLK,SI,0,9
NBATS322231-BLU,SI,0,18
MLBTS522206-RED,SI,0,2
NBATS322230-WHT,SI,0,41
MLBHD522207-BLK3,SI,0,17
NBASB522248-PUR,SI,0,5
MLBHD522207-NVY,SI,0,11
MLBHD522207-BLK,SI,0,8
NBAPT522210-BLK,SI,0,20
NBASH522210-RED1,SI,0,6
MLBSH522204-BLU,SI,0,13
MLBSH522204-NVY1,SI,0,20
NBASB322211-RED,SI,0,5
NBASB322211-PUR,SI,0,5
NBATS322241-GRY,SI,0,23
NBATS322239-BLK,NO,0,23
NBATS522210-BLK1,SI,0,15
NBATS322237-BLU,SI,0,17
NBATS522210-YEL,SI,0,8
NBATS322236-GRN,SI,0,18
NBATS322235-PUR1,SI,0,23
NBATS522210-BLK,SI,0,12
NBATS322231-YEL,SI,0,25
CCCT622203-WHT,SI,8,0
NBATS322231-BLU,SI,0,18
CCTS622203-NVY,SI,22,0
NBATS322230-WHT,SI,0,41
CCTS622202-BLK,SI,20,0
NBASB522248-PUR,SI,0,5
CCTS622202-WHT,SI,5,0
CCTS622201-BGE,SI,23,0
NBASW622230-BLK,SI,0,6
NBASW622230-RED,SI,0,15
NBATT522201-PUR1,SI,0,16
NBASW622230-YEL,SI,0,15
NBATT522201-BLU,SI,0,18
NBASW622230-PUR,SI,0,6
NBATS522203-BLK1,SI,0,25
