SKU,Encontrado,Stock,Stock Futuro
NBATT522201-BLU,SI,1,18
NBATT522201-BLK1,SI,16,0
NBATS322239-BLK,NO,16,0
NBATS322237-BLU,SI,23,17
NBATS322236-GRN,SI,23,18
NBATS322235-PUR1,SI,17,23
NBATS322231-YEL,SI,17,25
NBATS322231-BLU,SI,18,18
NBATS322230-WHT,SI,0,41
NBASB522248-PUR,SI,0,5
NBATS522203-BLK1,SI,7,15
NBATS522203-BLK,SI,7,15
NBASB322220-BLK2,SI,0,3
NBASB322220-BLK,SI,0,3
MLBCT622202-AQA,SI,17,25
NBASB522211-RED,SI,0,10
NBASBR622229-BLK,SI,20,0
NBASBR622229-PUR,SI,21,0
NBAJP622229-BLK,SI,2,0
NBAJP622229-PUR,SI,2,0
NBASB522228-PUR,SI,0,4
NBASB522228-GRY,SI,0,4
NBASB522226-BLK1,SI,0,10
PSGSO522204-BLU,SI,16,4
PSGSO522203-WHT,SI,1,69
PSGSO522202-RED,SI,16,12
PSGSO522201-BLK,SI,11,18
MLBPJ522204-NVY,SI,0,50
MLBPJ522203-BLU,SI,0,37
MLBSO522204-NVY,SI,0,50
MLBSO522203-GRY,SI,0,41
MLBSO522202-NVY,SI,5,53
MLBSO522201-BLK,SI,1,41
CCSO522201-BLK,SI,13,27
CCPJ522202-RED,SI,0,44
PSGPJ522203-BLK,SI,0,49
STFSO522201-BLK,SI,8,50
NASSO522202-BLK,SI,12,35
NASSO522201-NVY,SI,12,45
STTS52207-BLK,SI,42,0
STTS52206-BLK,SI,42,0
STTS52203-GRY,SI,42,0
STTS52203-NVY,SI,42,0
NBASL522207-PUR,SI,65,1
NBASL522207-BLK,SI,69,8
MLBFF522202-NVY,SI,38,0
MLBFF522201-BLU,SI,61,0
MLBFF522201-RED,SI,61,1
PSGSL522202-BLU,SI,71,0
RMSL522201-BLU,SI,88,0
PSGSL522201-BLK,SI,109,9
NBASL522202-PUR,SI,62,0
NFLTS522207-RED,SI,14,0
NFLTS522207-AQA,SI,16,0
NFLTS522207-BLK1,SI,17,1
NFLTS522207-NVY,SI,19,0
NFLTS522207-BLK,SI,16,0
NBAPJ522203-BLK,SI,0,6
NBASL522201-PUR,SI,59,0
NBASL522201-RED,SI,48,0
MLBSL522201-NVY,SI,77,2
MLBSL522201-BLK,SI,91,2
