SKU,Encontrado,Stock,Stock Futuro
SKU,Encontrado,Stock,Stock Futuro
NBAPJ522203-GRY,SI,0,18
NBAPT522214-BLK2,SI,0,17
NBAPT522214-BLK1,SI,0,16
NBAPT522214-BLK,SI,0,15
NBATT522222-BLK,SI,0,6
NBATS622223-BLK,SI,0,4
NBACT622221-PUR,SI,0,13
NBACT622221-BLK,SI,0,13
NBAPJ622267-RED1,SI,0,54
NBAPJ622267-RED,SI,0,44
NBAPJ622267-PUR,SI,0,44
NBAPJ622264-GRY1,SI,0,54
NBAPJ622264-PUR,SI,0,44
NBAPJ622264-PNK,SI,0,54
NBAPJ622264-GRY,SI,0,44
NBAPJ522203-GRY,SI,0,18
NBAPT522214-BLK2,SI,0,17
NBAPJ622261-GRY3,SI,0,44
NBAPT522214-BLK1,SI,0,16
NBAPJ622261-GRY1,SI,0,34
NBAPT522214-BLK,SI,0,15
NBAPJ622261-GRY2,SI,0,44
NBAPJ622261-GRY,SI,0,34
NBATT522222-BLK,SI,0,6
NBATS622223-BLK,SI,0,4
MLBTS5222013-LBL,SI,0,4
NBACT622221-PUR,SI,0,13
MLBTS322210-NVY,SI,0,20
NBACT622221-BLK,SI,0,13
MLBTS322210-BLK,SI,0,23
NBAPJ622267-RED1,SI,0,54
MLBTS322205-NVY,SI,0,19
NBAPJ622267-RED,SI,0,44
MLBTS322205-BLK,SI,0,25
NBAPJ622267-PUR,SI,0,44
NBAPJ622271-BLK,SI,0,44
NBAPJ622264-GRY1,SI,0,54
NBAPJ622271-LHB,SI,0,44
NBAPJ622264-PUR,SI,0,44
NBAPJ622271-PUR,SI,0,34
NBAPJ622264-PNK,SI,0,54
NBAPJ622271-PNK,SI,0,34
PACSO522205K-ORG,NO,0,34
PACSO522206K-BLK,NO,0,34
NBAPJ622264-GRY,SI,0,44
NFLTS622201-NVY,SI,0,4
NBAPJ622261-GRY3,SI,0,44
NFLTS622201-RED1,SI,0,4
NBAPJ622261-GRY1,SI,0,34
NFLCT622202-BLK1,SI,0,17
PSGSB32207S-BLK,NO,0,17
PSGSB32207S-NVY,NO,0,17
NBAPJ622261-GRY2,SI,0,44
NBACS322201-BLK,SI,0,33
NBAPJ622261-GRY,SI,0,34
NBACS322201-RED,SI,0,33
MLBTS5222013-LBL,SI,0,4
SOUTS522205-PUR,SI,0,27
UMSH523103-NVY,NO,0,27
UMSH523105-BLK,NO,0,27
MLBTS322210-NVY,SI,0,20
NFLCT622202-NVY,SI,0,17
MLBTS322210-BLK,SI,0,23
NFLCT622202-BLK,SI,0,17
MLBTS322205-NVY,SI,0,19
CCJP522202-BLK,SI,0,21
MLBTS322205-BLK,SI,0,25
BUDPT522201-BLK,SI,0,21
NBAPJ622271-BLK,SI,0,44
NASPT522202-GRY,SI,0,21
NBAPJ622271-LHB,SI,0,44
ACPT522201-BLK2,SI,0,21
NBAPJ622271-PUR,SI,0,34
LLPT522201-BLK,SI,0,21
NBAPJ622271-PNK,SI,0,34
LLSH522201-BLK,SI,0,21
PACSO522205K-ORG,NO,0,34
PACSO522206K-BLK,NO,0,34
PSGSB32207S-BLK,NO,0,34
NASSH522201-BLK,SI,0,17
PSGSB32207S-NVY,NO,0,34
FDPT522201-GRY,SI,0,21
NFLTS622201-NVY,SI,0,4
UMJS523103-TUR,NO,0,21
UMJS523104-LBL,NO,0,21
UMSH523101-BLK,NO,0,21
NFLTS622201-RED1,SI,0,4
MLBBX522223-NVY,SI,0,18
NFLCT622202-BLK1,SI,0,17
MLBBX522223-NVY1,SI,0,36
NBACS322201-BLK,SI,0,33
FIJS322209-YEL,SI,0,11
NBACS322201-RED,SI,0,33
UMSH523106-BLK,NO,0,11
SOUTS522205-PUR,SI,0,27
NBASH322202-BLK,SI,0,7
NFLCT622202-NVY,SI,0,17
NBATS322201-RED,SI,0,4
NFLCT622202-BLK,SI,0,17
NBATS322201-YEL,SI,0,17
NBATS322201-GRY,SI,0,7
CCJP522202-BLK,SI,0,21
NBASH322201-YEL,SI,0,8
BUDPT522201-BLK,SI,0,21
NBASH322201-WHT,SI,0,19
NASPT522202-GRY,SI,0,21
NBASH322201-RED,SI,0,19
ACPT522201-BLK2,SI,0,21
NBASH322201-PUR,SI,0,19
LLPT522201-BLK,SI,0,21
NBASH322201-BLK1,SI,0,19
LLSH522201-BLK,SI,0,21
NASSH522201-BLK,SI,0,17
NBASH322201-BLK,SI,0,4
NBAHD322201-GRY,SI,0,12
FDPT522201-GRY,SI,0,21
UMSH523103-NVY,NO,0,21
UMSH523105-BLK,NO,0,21
UMJS523103-TUR,NO,0,21
NBAHD322201-BLK1,SI,0,25
UMJS523104-LBL,NO,0,21
UMSH523101-BLK,NO,0,21
NBAHD322201-BLK,SI,0,11
MLBBX522223-NVY,SI,0,18
NBACT422220-PUR,SI,0,21
MLBBX522223-NVY1,SI,0,36
NBACT422220-YEL,SI,0,21
FIJS322209-YEL,SI,0,11
UMSH523106-BLK,NO,0,11
NBACT422220-RED,SI,0,21
NBASH322202-BLK,SI,0,7
NBACT422220-BLK,SI,0,21
NBATS322201-RED,SI,0,4
NBATS322201-YEL,SI,0,17
NBASH422220-BLK,SI,0,11
NBATS322201-GRY,SI,0,7
NBASH422220-PUR,SI,0,11
NBASH322201-YEL,SI,0,8
NBATT422220-BLK,SI,0,12
NBASH322201-WHT,SI,0,19
NBATT422220-PUR,SI,0,12
NBAHD422221-RED,SI,0,16
NBACT422220-PUR,SI,0,21
NBAHD422221-BLK,SI,0,5
NBACT422220-YEL,SI,0,21
NBAHD422221-PUR,SI,0,5
NBACT422220-RED,SI,0,21
NBACT422220-BLK,SI,0,21
NBALG422229-PUR,SI,0,12
NBASH422220-BLK,SI,0,11
NBALG422229-BLK,SI,0,12
NBASH422220-PUR,SI,0,11
NBATS522256-BLK4,SI,0,6
NBATT422220-BLK,SI,0,12
NBATS522256-BLK,SI,0,10
NBATT422220-PUR,SI,0,12
NBATS522255-PUR,SI,0,14
NBAHD422221-RED,SI,0,16
NBATS522254-BLK,SI,0,6
NBAHD422221-BLK,SI,0,5
NBATS522253-PUR,SI,0,9
NBAHD422221-PUR,SI,0,5
NBATS522252-BLK4,SI,0,16
NBASH322201-RED,SI,0,19
NBATS422223-YEL,SI,0,9
NBASH322201-PUR,SI,0,19
NBATS322229-GRY4,SI,0,14
NBASH322201-BLK1,SI,0,19
NBATS322229-BUR,SI,0,9
NBASH322201-BLK,SI,0,4
NBATS322229-BLU,SI,0,14
NBAHD322201-GRY,SI,0,12
NBATS322229-DGRY,SI,0,14
NBAHD322201-BLK1,SI,0,25
NBASH322224-BLK4,SI,0,6
NBAHD322201-BLK,SI,0,11
NBATT322221-BLK1,SI,0,6
NBATS522256-BLK4,SI,0,6
NBATT322221-BLK,SI,0,6
NBATS522256-BLK,SI,0,10
NBATS322224-BLK2,SI,0,2
NBATS522255-PUR,SI,0,14
NBAHD522252-BLK4,SI,0,11
NBALG422229-PUR,SI,0,12
NBASH322221-BLK,SI,0,21
NBALG422229-BLK,SI,0,12
NBASH322220-BLK3,SI,0,14
NBATS422223-YEL,SI,0,9
NBATS322221-BLK1,SI,0,24
NBATS522254-BLK,SI,0,6
NBATS322221-WHT,SI,0,11
