SKU,Encontrado,Stock,Stock Futuro
SKU,Encontrado,Stock,Stock Futuro
NBAPJ522203-GRY,SI,0,18
NBAPT522214-BLK2,SI,0,17
NBAPT522214-BLK1,SI,0,16
NBAPT522214-BLK,SI,0,15
NBATT522222-BLK,SI,0,6
NBATS622223-BLK,SI,0,4
NBACT622221-PUR,SI,0,13
NBACT622221-BLK,SI,0,13
MLBTS5222013-LBL,SI,0,4
MLBTS322210-NVY,SI,0,20
MLBTS322210-BLK,SI,0,23
MLBTS322205-NVY,SI,0,19
MLBTS322205-BLK,SI,0,25
NBAPJ622271-BLK,SI,0,44
NBAPJ622271-LHB,SI,0,44
NBAPJ622271-PUR,SI,0,34
NBAPJ622271-PNK,SI,0,34
PACSO522205K-ORG,NO,0,34
PACSO522206K-BLK,NO,0,34
NBAPJ622267-RED1,SI,0,54
NBAPJ622267-RED,SI,0,44
NBAPJ622267-PUR,SI,0,44
NBAPJ622264-GRY1,SI,0,54
NBAPJ622264-PUR,SI,0,44
NBAPJ622264-PNK,SI,0,54
NBAPJ622264-GRY,SI,0,44
NBAPJ622261-GRY3,SI,0,44
NBAPJ622261-GRY1,SI,0,34
NBAPJ622261-GRY2,SI,0,44
NBAPJ622261-GRY,SI,0,34
PSGSB32207S-BLK,NO,0,34
PSGSB32207S-NVY,NO,0,34
NFLTS622201-NVY,SI,0,4
NBAPJ522203-GRY,SI,0,18
NFLTS622201-RED1,SI,0,4
NBAPT522214-BLK2,SI,0,17
NBAPT522214-BLK1,SI,0,16
NFLCT622202-BLK1,SI,0,17
NBAPT522214-BLK,SI,0,15
NBACS322201-BLK,SI,0,33
NBACS322201-RED,SI,0,33
NBATT522222-BLK,SI,0,6
NBATS622223-BLK,SI,0,4
SOUTS522205-PUR,SI,0,27
UMSH523103-NVY,NO,0,27
UMSH523105-BLK,NO,0,27
NFLCT622202-NVY,SI,0,17
NBACT622221-PUR,SI,0,13
NFLCT622202-BLK,SI,0,17
NBACT622221-BLK,SI,0,13
CCJP522202-BLK,SI,0,21
NBAPJ622267-RED1,SI,0,54
NBAPJ622267-RED,SI,0,44
BUDPT522201-BLK,SI,0,21
NBAPJ622267-PUR,SI,0,44
NASPT522202-GRY,SI,0,21
NBAPJ622264-GRY1,SI,0,54
ACPT522201-BLK2,SI,0,21
NBAPJ622264-PUR,SI,0,44
LLPT522201-BLK,SI,0,21
NBAPJ622264-PNK,SI,0,54
LLSH522201-BLK,SI,0,21
NBAPJ622264-GRY,SI,0,44
NASSH522201-BLK,SI,0,17
NBAPJ622261-GRY3,SI,0,44
FDPT522201-GRY,SI,0,21
UMJS523103-TUR,NO,0,21
UMJS523104-LBL,NO,0,21
UMSH523101-BLK,NO,0,21
NBAPJ622261-GRY1,SI,0,34
NBAPJ622261-GRY2,SI,0,44
MLBBX522223-NVY,SI,0,18
MLBBX522223-NVY1,SI,0,36
NBAPJ622261-GRY,SI,0,34
FIJS322209-YEL,SI,0,13
MLBTS5222013-LBL,SI,0,4
UMSH523106-BLK,NO,0,13
MLBTS322210-NVY,SI,0,20
NBASH322202-BLK,SI,0,10
NBATS322201-RED,SI,0,4
MLBTS322210-BLK,SI,0,23
NBATS322201-YEL,SI,0,17
MLBTS322205-NVY,SI,0,19
NBATS322201-GRY,SI,0,7
MLBTS322205-BLK,SI,0,25
NBASH322201-YEL,SI,0,8
NBAPJ622271-BLK,SI,0,44
NBASH322201-WHT,SI,0,19
NBAPJ622271-LHB,SI,0,44
NBASH322201-RED,SI,0,19
NBAPJ622271-PUR,SI,0,34
NBASH322201-PUR,SI,0,19
NBAPJ622271-PNK,SI,0,34
PACSO522205K-ORG,NO,0,34
PACSO522206K-BLK,NO,0,34
NBASH322201-BLK1,SI,0,19
NFLTS622201-NVY,SI,0,4
NBASH322201-BLK,SI,0,4
NFLTS622201-RED1,SI,0,4
NBAHD322201-GRY,SI,0,15
NFLCT622202-BLK1,SI,0,17
PSGSB32207S-BLK,NO,0,17
PSGSB32207S-NVY,NO,0,17
NBAHD322201-BLK1,SI,0,25
NBACS322201-BLK,SI,0,33
NBAHD322201-BLK,SI,0,14
NBACS322201-RED,SI,0,33
SOUTS522205-PUR,SI,0,27
NBACT422220-PUR,SI,0,21
NFLCT622202-NVY,SI,0,17
NBACT422220-YEL,SI,0,21
NFLCT622202-BLK,SI,0,17
NBACT422220-RED,SI,0,21
NBACT422220-BLK,SI,0,21
CCJP522202-BLK,SI,0,21
NBASH422220-BLK,SI,0,11
BUDPT522201-BLK,SI,0,21
NBASH422220-PUR,SI,0,11
NASPT522202-GRY,SI,0,21
NBATT422220-BLK,SI,0,12
ACPT522201-BLK2,SI,0,21
NBATT422220-PUR,SI,0,12
LLPT522201-BLK,SI,0,21
LLSH522201-BLK,SI,0,21
NBAHD422221-RED,SI,0,16
NASSH522201-BLK,SI,0,17
NBAHD422221-BLK,SI,0,5
NBAHD422221-PUR,SI,0,5
FDPT522201-GRY,SI,0,21
UMSH523103-NVY,NO,0,21
UMSH523105-BLK,NO,0,21
UMJS523103-TUR,NO,0,21
NBALG422229-PUR,SI,0,12
UMJS523104-LBL,NO,0,21
UMSH523101-BLK,NO,0,21
NBALG422229-BLK,SI,0,12
MLBBX522223-NVY,SI,0,18
NBATS522256-BLK4,SI,0,6
MLBBX522223-NVY1,SI,0,36
NBATS522256-BLK,SI,0,10
FIJS322209-YEL,SI,0,13
UMSH523106-BLK,NO,0,13
NBASH322202-BLK,SI,0,10
NBATS522255-PUR,SI,0,14
NBATS322201-RED,SI,0,4
NBATS522254-BLK,SI,0,6
NBATS322201-YEL,SI,0,17
NBATS522253-PUR,SI,0,9
NBATS322201-GRY,SI,0,7
NBATS522252-BLK4,SI,0,16
NBATS422223-YEL,SI,0,9
NBASH322201-YEL,SI,0,8
NBASH322201-WHT,SI,0,19
NBATS322229-GRY4,SI,0,14
NBASH322201-RED,SI,0,19
NBATS322229-BUR,SI,0,9
NBASH322201-PUR,SI,0,19
NBATS322229-BLU,SI,0,14
NBASH322201-BLK1,SI,0,19
NBATS322229-DGRY,SI,0,14
NBASH322201-BLK,SI,0,4
NBASH322224-BLK4,SI,0,6
NBAHD322201-GRY,SI,0,15
NBATT322221-BLK1,SI,0,6
NBAHD322201-BLK1,SI,0,25
NBATT322221-BLK,SI,0,6
NBAHD322201-BLK,SI,0,14
NBATS322224-BLK2,SI,0,2
NBATS522256-BLK4,SI,0,6
NBAHD522252-BLK4,SI,0,11
NBATS522256-BLK,SI,0,10
NBASH322221-BLK,SI,0,21
NBATS522255-PUR,SI,0,14
NBASH322220-BLK3,SI,0,14
NBACT422220-PUR,SI,0,21
NBATS322221-BLK1,SI,0,24
NBACT422220-YEL,SI,0,21
NBATS322221-WHT,SI,0,11
NBATS322221-YEL,SI,0,15
NBACT422220-RED,SI,0,21
NBACT422220-BLK,SI,0,21
NBATS322220-PUR,SI,0,2
NBATS322220-BLK1,SI,0,3
NBASH422220-BLK,SI,0,11
NBATS322220-BLK,SI,0,6
NBASH422220-PUR,SI,0,11
NBAJP622201-GRY3,SI,0,19
NBATT422220-BLK,SI,0,12
NBAJP622201-GRY,SI,0,19
NBATT422220-PUR,SI,0,12
PSGSB32208-BLK,SI,0,7
